City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Airai,-8.93,125.41,74.03,75,100,1.86,TL,1607305543
Atuona,-9.8,-139.03,78.57,76,6,15.73,PF,1607305543
Cabo San Lucas,22.89,-109.91,71.6,56,5,8.05,MX,1607305352
Zarubino,42.63,131.09,27.12,83,0,18.95,RU,1607305543
Malé,4.17,73.51,82.4,83,75,14.99,MV,1607305466
Bluff,-46.6,168.33,66.99,60,14,3.0,NZ,1607305543
Dikson,73.51,80.55,-5.82,93,51,10.54,RU,1607305543
Castro,-24.79,-50.01,59.86,97,99,7.67,BR,1607305543
Samayac,14.58,-91.46,64.99,92,70,3.74,GT,1607305543
Hithadhoo,-0.6,73.08,82.09,79,7,17.25,MV,1607305543
Arraial do Cabo,-22.97,-42.03,77.0,94,75,11.41,BR,1607305543
Salalah,17.02,54.09,73.4,73,40,3.36,OM,1607305544
Albany,42.6,-73.97,30.99,57,11,5.99,US,1607305544
Avarua,-21.21,-159.78,84.2,79,92,13.87,CK,1607305544
Bud,39.45,-86.18,30.99,80,75,3.36,US,1607305544
Tarakan,3.3,117.63,81.41,77,100,6.64,ID,1607305544
Kapaa,22.08,-159.32,82.4,65,75,4.7,US,1607305544
Borazjan,29.27,51.22,58.89,79,7,2.08,IR,1607305544
Port Lincoln,-34.73,135.87,60.44,54,88,23.98,AU,1607305281
Vaini,-21.2,-175.2,84.2,79,75,10.29,TO,1607305544
Bredasdorp,-34.53,20.04,62.6,93,100,21.92,ZA,1607305544
Vila,42.03,-8.16,50.0,96,100,11.01,PT,1607305373
Lovozero,68.0,35.01,27.64,97,100,3.6,RU,1607305544
Tornio,65.85,24.15,39.2,100,90,16.11,FI,1607305544
Hermanus,-34.42,19.23,64.99,86,100,8.01,ZA,1607305544
Codrington,-38.27,141.97,56.79,62,31,21.85,AU,1607305545
Chokurdakh,70.63,147.92,-22.65,86,99,3.78,RU,1607304862
Mataura,-46.19,168.86,66.99,60,78,3.0,NZ,1607305545
Paamiut,61.99,-49.67,30.96,95,96,10.71,GL,1607305545
Alofi,-19.06,-169.92,86.0,70,75,13.87,NU,1607305426
Puerto Ayora,-0.74,-90.35,72.0,91,76,1.01,EC,1607305545
Sambava,-14.27,50.17,73.76,86,7,6.98,MG,1607305545
Tel Aviv-Yafo,32.08,34.78,59.0,87,40,2.24,IL,1607305545
Hasaki,35.73,140.83,57.0,81,20,5.82,JP,1607305545
Bilāspur,22.08,82.15,64.67,54,0,1.61,IN,1607305546
San Quintín,30.48,-115.95,59.18,60,0,7.52,MX,1607305546
Monção,42.08,-8.48,60.01,100,75,12.75,PT,1607305546
Río Cuarto,-33.13,-64.35,64.0,57,42,11.99,AR,1607305546
Poum,-20.23,164.02,80.89,75,24,13.4,NC,1607305546
Łomianki,52.33,20.89,37.0,74,75,17.22,PL,1607305546
New Norfolk,-42.78,147.06,63.0,56,96,8.01,AU,1607305546
Mehamn,71.04,27.85,28.53,92,89,5.14,NO,1607305546
Torbay,47.67,-52.73,50.0,100,90,12.75,CA,1607305546
Rikitea,-23.12,-134.97,76.89,79,0,14.18,PF,1607305546
Cam Ranh,11.92,109.16,77.0,83,75,17.22,VN,1607305546
Farah,32.5,62.5,51.49,67,100,4.45,AF,1607305547
Butaritari,3.07,172.79,81.03,79,16,13.62,KI,1607305547
Ushuaia,-54.8,-68.3,50.0,93,75,12.75,AR,1607305547
Yangi Marg`ilon,40.43,71.72,30.2,80,100,2.24,UZ,1607305547
Punta Arenas,-53.15,-70.92,59.0,67,100,23.04,CL,1607305547
Mar del Plata,-38.0,-57.56,63.0,72,0,9.17,AR,1607305547
Faya,18.39,42.45,53.6,93,0,3.36,SA,1607305547
Tessalit,20.2,1.01,63.99,38,38,6.04,ML,1607305547
Bandarbeyla,9.49,50.81,74.66,78,33,7.43,SO,1607304747
Nikolskoye,59.7,30.79,28.99,54,0,11.18,RU,1607305547
